variant,qid,query_class,difficulty,status,den_acc,exec_ok,join_hall,ir_attempts,latency_s
M-norepair,Q036,temporal_trend,medium,accept,1,1,0,1,2.432
M-norepair,Q037,temporal_trend,medium,accept,1,1,0,1,2.713
M-norepair,Q038,count_filter,easy,reject,0,0,0,1,2.341
M-norepair,Q039,path_relation,medium,accept,1,1,0,1,1.94
M-norepair,Q041,temporal_trend,medium,accept,1,1,0,1,2.403
M-norepair,Q042,delay_analysis,hard,accept,1,1,0,1,2.364
M-norepair,Q045,count_filter,easy,accept,1,1,0,1,1.975
M-norepair,Q046,path_relation,medium,accept,1,1,0,1,1.443
M-norepair,Q047,path_relation,hard,accept,0,1,0,1,2.639
M-norepair,Q048,path_relation,medium,accept,1,1,0,1,3.129
M-norepair,Q049,count_filter,easy,reject,0,0,0,1,2.07
M-norepair,Q051,temporal_trend,medium,accept,1,1,0,1,2.741
M-norepair,Q052,temporal_trend,medium,reject,0,0,0,1,2.41
M-norepair,Q053,temporal_trend,medium,accept,1,1,0,1,2.987
M-norepair,Q054,temporal_trend,medium,accept,1,1,0,1,2.866
M-norepair,Q057,group_topk,easy,accept,1,1,0,1,2.082
M-norepair,Q058,group_topk,medium,reject,0,0,0,1,2.588
M-norepair,Q059,group_topk,medium,accept,0,1,0,1,2.606
M-norepair,Q062,path_relation,easy,accept,1,1,0,1,2.127
M-norepair,Q063,path_relation,medium,accept,1,1,0,1,1.431
M-norepair,Q065,delay_analysis,hard,accept,1,1,0,1,2.593
M-norepair,Q066,delay_analysis,hard,reject,0,0,0,1,2.306
M-norepair,Q067,delay_analysis,hard,accept,1,1,0,1,2.189
M-norepair,Q068,delay_analysis,hard,accept,0,1,0,1,2.206
M-norepair,Q069,delay_analysis,hard,reject,0,0,0,1,2.228
M-norepair,Q070,delay_analysis,hard,reject,0,0,0,1,2.047
M-norepair,Q075,anomaly_filter,hard,reject,0,0,0,1,2.425
M-norepair,Q076,anomaly_filter,hard,accept,0,1,0,1,3.177
M-norepair,Q077,anomaly_filter,hard,accept,0,1,0,1,2.711
M-norepair,Q078,anomaly_filter,hard,reject,0,0,0,1,2.033
M-norepair,Q079,anomaly_filter,hard,accept,1,1,0,1,2.591
M-norepair,Q080,anomaly_filter,hard,accept,1,1,0,1,2.664
M-norepair,Q085,window_agg,medium,accept,1,1,0,1,3.118
M-norepair,Q086,window_agg,medium,exec_error,0,0,0,1,2.858
M-norepair,Q087,window_agg,medium,accept,0,1,0,1,2.15
M-norepair,Q088,window_agg,medium,reject,0,0,0,1,2.688
M-norepair,Q089,window_agg,medium,reject,0,0,0,1,2.969
M-norepair,Q090,window_agg,hard,reject,0,0,0,1,3.979
M-norepair,Q091,window_agg,hard,accept,1,1,0,1,3.159
M-norepair,Q097,nested_agg,hard,accept,1,1,0,1,2.266
M-norepair,Q098,nested_agg,hard,accept,1,1,0,1,2.273
M-norepair,Q099,nested_agg,hard,reject,0,0,0,1,2.721
M-norepair,Q100,nested_agg,hard,exec_error,0,0,0,1,3.102
M-norepair,Q101,nested_agg,hard,accept,1,1,0,1,2.762
M-norepair,Q102,nested_agg,hard,accept,1,1,0,1,2.859
M-norepair,Q109,conformance,medium,accept,1,1,0,1,1.539
M-norepair,Q110,conformance,medium,accept,0,1,0,1,1.521
M-norepair,Q111,conformance,medium,accept,1,1,0,1,1.433
M-norepair,Q112,conformance,hard,accept,0,1,0,1,1.533
M-norepair,Q113,conformance,hard,exec_error,0,0,0,1,2.536
M-norepair,Q114,conformance,hard,reject,0,0,0,1,3.07
M-noverifier,Q003,count_filter,easy,accept,1,1,0,1,1.584
M-noverifier,Q004,count_filter,easy,accept,1,1,0,1,1.977
M-noverifier,Q005,count_filter,easy,accept,1,1,0,1,1.955
M-noverifier,Q007,group_topk,easy,accept,1,1,0,1,2.223
M-noverifier,Q008,group_topk,easy,accept,1,1,0,1,2.401
M-noverifier,Q010,group_topk,easy,accept,1,1,0,1,2.48
M-noverifier,Q011,group_topk,easy,accept,1,1,0,1,2.285
M-noverifier,Q015,path_relation,medium,accept,1,1,0,1,2.395
M-noverifier,Q016,path_relation,medium,accept,1,1,0,1,2.041
